Date,Open,High,Low,Close
1991-01-02,134.5,134.5,134.5,134.5
1991-01-03,133.06,133.06,133.06,133.06
1991-01-04,135.15,135.15,135.15,135.15
1991-01-07,136.6,136.6,136.6,136.6
1991-01-08,136.45,136.45,136.45,136.45
1991-01-09,134.1,134.1,134.1,134.1
1991-01-10,134.6,134.6,134.6,134.6
1991-01-11,134.14,134.14,134.14,134.14
1991-01-14,135.01,135.01,135.01,135.01
1991-01-15,135.9,135.9,135.9,135.9
1991-01-16,136.86,136.86,136.86,136.86
1991-01-17,133.04,133.04,133.04,133.04
1991-01-18,132.64,132.64,132.64,132.64
1991-01-21,132.05,132.05,132.05,132.05
1991-01-22,131.65,131.65,131.65,131.65
1991-01-23,132.2,132.2,132.2,132.2
1991-01-24,132.15,132.15,132.15,132.15
1991-01-25,132.25,132.25,132.25,132.25
1991-01-28,132.14,132.14,132.14,132.14
1991-01-29,131.55,131.55,131.55,131.55
1991-01-30,131.56,131.56,131.56,131.56
1991-01-31,131.39,131.39,131.39,131.39
1991-02-01,131.45,131.45,131.45,131.45
1991-02-04,131.01,131.01,131.01,131.01
1991-02-05,129.69,129.69,129.69,129.69
1991-02-06,128.31,128.31,128.31,128.31
1991-02-07,127.95,127.95,127.95,127.95
1991-02-08,127.8,127.8,127.8,127.8
1991-02-11,127.7,127.7,127.7,127.7
1991-02-12,128.25,128.25,128.25,128.25
1991-02-13,129.05,129.05,129.05,129.05
1991-02-14,129.7,129.7,129.7,129.7
1991-02-15,130.45,130.45,130.45,130.45
1991-02-18,130.35,130.35,130.35,130.35
1991-02-19,131.5,131.5,131.5,131.5
1991-02-20,131.75,131.75,131.75,131.75
1991-02-21,131.31,131.31,131.31,131.31
1991-02-22,132.19,132.19,132.19,132.19
1991-02-25,133.36,133.36,133.36,133.36
1991-02-26,132.81,132.81,132.81,132.81
1991-02-27,132.25,132.25,132.25,132.25
1991-02-28,132.95,132.95,132.95,132.95
1991-03-01,134.51,134.51,134.51,134.51
1991-03-04,135.5,135.5,135.5,135.5
1991-03-05,135.39,135.39,135.39,135.39
1991-03-06,136.21,136.21,136.21,136.21
1991-03-07,135.79,135.79,135.79,135.79
1991-03-08,136.19,136.19,136.19,136.19
1991-03-11,138.05,138.05,138.05,138.05
1991-03-12,136.39,136.39,136.39,136.39
1991-03-13,136.41,136.41,136.41,136.41
1991-03-14,135.94,135.94,135.94,135.94
1991-03-15,137.15,137.15,137.15,137.15
1991-03-18,138.06,138.06,138.06,138.06
1991-03-19,138.2,138.2,138.2,138.2
1991-03-20,138.65,138.65,138.65,138.65
1991-03-21,137.56,137.56,137.56,137.56
1991-03-22,137.14,137.14,137.14,137.14
1991-03-25,138.44,138.44,138.44,138.44
1991-03-26,138.36,138.36,138.36,138.36
1991-03-27,139.01,139.01,139.01,139.01
1991-03-28,141.2,141.2,141.2,141.2
1991-03-29,140.61,140.61,140.61,140.61
1991-04-01,140.2,140.2,140.2,140.2
1991-04-02,138.2,138.2,138.2,138.2
1991-04-03,137.4,137.4,137.4,137.4
1991-04-04,135.95,135.95,135.95,135.95
1991-04-05,136.86,136.86,136.86,136.86
1991-04-08,137.21,137.21,137.21,137.21
1991-04-09,135.16,135.16,135.16,135.16
1991-04-10,136.31,136.31,136.31,136.31
1991-04-11,135.8,135.8,135.8,135.8
1991-04-12,136.25,136.25,136.25,136.25
1991-04-15,134.5,134.5,134.5,134.5
1991-04-16,134.74,134.74,134.74,134.74
1991-04-17,136.34,136.34,136.34,136.34
1991-04-18,136.75,136.75,136.75,136.75
1991-04-19,138.35,138.35,138.35,138.35
1991-04-22,139.4,139.4,139.4,139.4
1991-04-23,137.89,137.89,137.89,137.89
1991-04-24,138,138,138,138
1991-04-25,137.99,137.99,137.99,137.99
1991-04-26,138.15,138.15,138.15,138.15
1991-04-29,137.65,137.65,137.65,137.65
1991-04-30,136.29,136.29,136.29,136.29
1991-05-01,137.59,137.59,137.59,137.59
1991-05-02,138.05,138.05,138.05,138.05
1991-05-03,138.51,138.51,138.51,138.51
1991-05-06,138.39,138.39,138.39,138.39
1991-05-07,137.9,137.9,137.9,137.9
1991-05-08,138.3,138.3,138.3,138.3
1991-05-09,139.29,139.29,139.29,139.29
1991-05-10,138.76,138.76,138.76,138.76
1991-05-13,139.35,139.35,139.35,139.35
1991-05-14,138.2,138.2,138.2,138.2
1991-05-15,138,138,138,138
1991-05-16,137.55,137.55,137.55,137.55
1991-05-17,138.5,138.5,138.5,138.5
1991-05-20,138.21,138.21,138.21,138.21
1991-05-21,137.39,137.39,137.39,137.39
1991-05-22,138.1,138.1,138.1,138.1
1991-05-23,137.69,137.69,137.69,137.69
1991-05-24,138.41,138.41,138.41,138.41
1991-05-27,138.24,138.24,138.24,138.24
1991-05-28,137.84,137.84,137.84,137.84
1991-05-29,137.95,137.95,137.95,137.95
1991-05-30,137.8,137.8,137.8,137.8
1991-05-31,138.39,138.39,138.39,138.39
1991-06-03,139.01,139.01,139.01,139.01
1991-06-04,138.65,138.65,138.65,138.65
1991-06-05,139.1,139.1,139.1,139.1
1991-06-06,139.15,139.15,139.15,139.15
1991-06-07,140.3,140.3,140.3,140.3
1991-06-10,141.94,141.94,141.94,141.94
1991-06-11,141.1,141.1,141.1,141.1
1991-06-12,141.9,141.9,141.9,141.9
1991-06-13,141.34,141.34,141.34,141.34
1991-06-14,140.55,140.55,140.55,140.55
1991-06-17,140.95,140.95,140.95,140.95
1991-06-18,140.8,140.8,140.8,140.8
1991-06-19,140.05,140.05,140.05,140.05
1991-06-20,138.8,138.8,138.8,138.8
1991-06-21,138.94,138.94,138.94,138.94
1991-06-24,138.85,138.85,138.85,138.85
1991-06-25,138.8,138.8,138.8,138.8
1991-06-26,138.3,138.3,138.3,138.3
1991-06-27,138.05,138.05,138.05,138.05
1991-06-28,137.96,137.96,137.96,137.96
1991-07-01,138.39,138.39,138.39,138.39
